timestamp,value,is_anomaly
1416726000,13.8940312022,0
1416729600,33.5782735451,0
1416733200,88.9337461758,0
1416736800,125.389423703,0
1416740400,152.961999638,0
1416744000,168.36514992,0
1416747600,211.863425087,0
1416751200,255.452288985,0
1416754800,295.065009856,0
1416758400,357.805876894,0
1416762000,375.746933725,0
1416765600,394.292128883,0
1416769200,425.906753642,0
1416772800,470.487595143,0
1416776400,505.187173709,0
1416780000,538.400433773,0
1416783600,579.767391263,0
1416787200,600.841040576,0
1416790800,648.673566525,0
1416794400,663.043224144,0
1416798000,706.487417402,0
1416801600,744.904292007,0
1416805200,773.496163785,0
1416808800,811.607978176,0
1416812400,832.300395797,0
1416816000,868.047921645,0
1416819600,903.423501074,0
1416823200,912.223072526,0
1416826800,933.388245909,0
1416830400,975.060329815,0
1416834000,998.294254354,0
1416837600,1020.55055808,0
1416841200,1046.66776921,0
1416844800,1068.46084327,0
1416848400,1107.01209884,0
1416852000,1134.32713966,0
1416855600,1154.41765049,0
1416859200,1159.8211277,0
1416862800,1198.38828274,0
1416866400,1201.08032395,0
1416870000,1242.02763001,0
1416873600,1246.53476955,0
1416877200,1252.18765221,0
1416880800,1263.93151926,0
1416884400,1275.27022917,0
1416888000,1290.49172473,0
1416891600,1298.2045967,0
1416895200,1340.39404941,0
1416898800,1348.15492522,0
1416902400,1346.88839238,0
1416906000,1361.75213765,0
1416909600,1363.15888391,0
1416913200,1401.6720062,0
1416916800,1372.61374582,0
1416920400,1386.33079196,0
1416924000,1394.28052803,0
1416927600,1401.94350317,0
1416931200,1395.87460009,0
1416934800,1374.95611255,0
1416938400,1386.17858084,0
1416942000,1403.6969834,0
1416945600,1398.31562652,0
1416949200,1385.79060908,0
1416952800,1391.5803779,0
1416956400,1379.62490583,0
1416960000,1386.01097066,0
1416963600,1361.45160296,0
1416967200,1373.96413652,0
1416970800,1364.51697585,0
1416974400,1353.38856113,0
1416978000,1342.81379231,0
1416981600,1334.4202979,0
1416985200,1312.49855481,0
1416988800,1305.44491003,0
1416992400,1300.25845083,0
1416996000,1290.3496301,0
1416999600,1264.20565961,0
1417003200,1244.82428481,0
1417006800,1218.70405452,0
1417010400,1194.67467347,0
1417014000,1182.61839887,0
1417017600,1185.23996913,0
1417021200,1159.17175562,0
1417024800,1126.68575899,0
1417028400,1102.05406864,0
1417032000,1078.96483277,0
1417035600,1070.62350205,0
1417039200,1031.9593791,0
1417042800,1023.4160772,0
1417046400,990.608761139,0
1417050000,970.990189938,0
1417053600,919.620110049,0
1417057200,901.191502326,0
1417060800,862.648275541,0
1417064400,849.520442604,0
1417068000,814.308207794,0
1417071600,779.344236651,0
1417075200,767.36950013,0
1417078800,722.248880693,0
1417082400,698.560534296,0
1417086000,663.583383195,0
1417089600,613.361253861,0
1417093200,581.614569239,0
1417096800,554.972922437,0
1417100400,507.70571036,0
1417104000,491.796799151,0
1417107600,436.335559459,0
1417111200,432.957295476,0
1417114800,373.930858692,0
1417118400,361.993629829,0
1417122000,302.846481665,0
1417125600,260.324363671,0
1417129200,234.743157951,0
1417132800,198.045476872,0
1417136400,142.401295675,0
1417140000,135.501357882,0
1417143600,74.5340957642,0
1417147200,53.4199784168,0
1417150800,18.0145253641,0
1417154400,-23.0747972625,0
1417158000,-63.047775404,0
1417161600,-96.6705769574,0
1417165200,-147.634967394,0
1417168800,-181.653037228,0
1417172400,-221.885518267,0
1417176000,-228.921619906,0
1417179600,-266.321420731,0
1417183200,-316.203675482,0
1417186800,-368.725005198,0
1417190400,-391.023912303,0
1417194000,-409.898718124,0
1417197600,-467.003200274,0
1417201200,-487.91125005,0
1417204800,-541.969965739,0
1417208400,-557.865875577,0
1417212000,-609.757574049,0
1417215600,-646.164002159,0
1417219200,-676.066906492,0
1417222800,-707.565362443,0
1417226400,-739.979800907,0
1417230000,-753.25821474,0
1417233600,-791.571779359,0
1417237200,-826.241239707,0
1417240800,-864.406118459,0
1417244400,-892.803449311,0
1417248000,-918.626048908,0
1417251600,-950.407759208,0
1417255200,-970.269920352,0
1417258800,-986.719546367,0
1417262400,-1030.76343785,0
1417266000,-1026.75712475,0
1417269600,-1081.77227922,0
1417273200,-1092.07270774,0
1417276800,-1087.83919592,0
1417280400,-1126.21916804,0
1417284000,-1160.09919751,0
1417287600,-1187.34186704,0
1417291200,-1191.07301773,0
1417294800,-1216.43814015,0
1417298400,-1238.38516451,0
1417302000,-1247.85639488,0
1417305600,-1272.93925991,0
1417309200,-1253.63287851,0
1417312800,-1278.80643889,0
1417316400,-1302.21096275,0
1417320000,-1315.51362065,0
1417323600,-1340.97097669,0
1417327200,-1335.95464691,0
1417330800,-1359.28306725,0
1417334400,-1375.33195281,0
1417338000,-1351.36148166,0
1417341600,-1389.16109732,0
1417345200,-1388.07245078,0
1417348800,-1396.51841061,0
1417352400,-1404.10978566,0
1417356000,-1390.05876958,0
1417359600,-1415.37827004,0
1417363200,-1401.87167105,0
1417366800,-1405.91930752,0
1417370400,-1413.90573053,0
1417374000,-1397.41441709,0
1417377600,-1398.4208883,0
1417381200,-1396.25463011,0
1417384800,-1374.02713727,0
1417388400,-1373.06596963,0
1417392000,-1373.04849596,0
1417395600,-1362.49587787,0
1417399200,-1363.52980701,0
1417402800,-1347.88074685,0
1417406400,-1322.84004926,0
1417410000,-1323.50514547,0
1417413600,-1308.96529203,0
1417417200,-1274.97263586,0
1417420800,-1290.57119747,0
1417424400,-1256.94305744,0
1417428000,-1231.60410997,0
1417431600,-1245.91081838,0
1417435200,-1216.04648665,0
1417438800,-1201.70756184,0
1417442400,-1183.15166107,0
1417446000,-1168.75904382,0
1417449600,-1145.80228196,0
1417453200,-1099.86768675,0
1417456800,-1084.40044566,0
1417460400,-1058.73336957,0
1417464000,-1025.7145038,0
1417467600,-1021.71001819,0
1417471200,-982.836015505,0
1417474800,-965.913408127,0
1417478400,-943.509353712,0
1417482000,-899.893952441,0
